convo_id,avg_out_degree,n_nodes,avg_how_enjoyable,conv_length_min,n_participants,sex_pair
1507fb8f-a797-4911-a695-15e9856cb173,1.4,10,4.0,30.0,2,FM
152e9736-6632-4049-b7d6-58b721f7a146,1.1,10,8.0,25.0,2,MM
1550c143-9b3f-4d11-8001-0990ccd4a103,1.1111111111111112,9,5.5,27.0,2,FF
155203ec-a9c3-49d7-a135-b8b3676d8658,1.3333333333333333,6,7.0,26.0,2,MM
15e2e683-a9f6-4a51-9a03-27c138b50bdf,1.1111111111111112,9,6.5,28.0,2,FF
15fe8c92-30ba-47f5-a0ea-44a1cd47dba7,1.4,10,9.0,52.0,2,FM
164bdd54-904f-4308-8d4e-90ba75777e31,0.75,4,5.5,26.0,2,FM
164f6283-d242-4804-96af-b01140c2a8cf,1.2222222222222223,9,6.0,29.0,2,FM
1672c478-3dd7-400f-8be4-e474b1044eb8,1.5,8,7.0,25.0,2,FF
167471c0-9faf-4d4d-b9c3-291e859d3dcd,1.3,10,6.0,25.0,2,FF
1699d7c9-be90-437a-bd68-eff94e651105,1.3076923076923077,13,9.0,64.0,2,FF
16af37de-347d-4826-8a60-691d9a0e7fea,1.1428571428571428,7,4.5,27.0,2,FM
16f12fd9-54ee-44f0-963c-073c4b717635,1.4444444444444444,9,7.0,27.0,2,FM
1715e446-f495-48c9-b25b-9dbe4c34108d,1.0909090909090908,11,6.0,29.0,2,FM
17460295-99ab-499c-9c0f-8b8524018405,1.0,8,7.0,26.0,2,MM
178000fe-cade-4f84-94f3-5e2aca75e454,1.0,8,6.0,26.0,2,FM
178bf887-0aff-4253-be58-e363db00af7a,1.1428571428571428,7,7.5,29.0,2,FM
17ab5197-7d36-4697-a969-e6b8db3862ec,1.125,8,7.0,27.0,2,UNK
17dbcae3-0087-49c6-af7c-c92099e3377a,1.4166666666666667,12,7.0,0.0,2,UNK
17e0d586-466b-4911-903d-eae6de438b55,1.125,8,7.0,27.0,2,FM
17f79204-f746-4b86-84da-6e1fd27bf6e8,1.25,8,7.5,26.0,2,FM
1816c0b9-9abc-4330-a66d-e5c1e3c50b95,1.1818181818181819,11,6.5,25.0,2,FF
188c0cbf-69bf-487a-bb75-c7b088df160b,1.4444444444444444,9,7.0,26.0,2,FF
18984e66-990e-4e54-b3f8-921fdbc351ff,1.2222222222222223,9,7.0,35.0,2,MM
18b861c1-a592-40fa-9488-03cf10d8390f,1.1111111111111112,9,7.5,25.0,2,FM
18df217a-0c9d-4355-97ff-72ada9452e8f,1.5,6,8.5,25.0,2,FF
18e54549-a1e8-402a-a7ad-1a50f0c353f6,1.8333333333333333,6,6.5,26.0,2,MM
18efe569-a8ea-49fb-8776-aa4da710502c,1.3076923076923077,13,9.0,30.0,2,FF
19313347-d014-4c87-bc6c-9823d2a64bc5,1.6666666666666667,9,7.0,29.0,2,FM
19378a93-9f81-49c0-8433-674ea8bfdda6,1.1,10,8.0,25.0,2,FF
19c78684-fc44-482c-a0d3-d19223b4ba65,1.6666666666666667,6,8.5,27.0,2,MM
19ebf7f7-5bbf-4a8c-a94f-1b7d2decddbf,1.1428571428571428,7,7.5,26.0,2,FM
19fd3ef7-6ad8-4f2f-a3aa-fd8e2a0b39cc,1.4444444444444444,9,8.0,50.0,2,FM
1a19835c-4dd1-4d29-b945-e0b25285a26a,1.1666666666666667,12,7.5,26.0,2,FF
1a4f9ccc-8bac-4733-802d-b93c2781302d,1.0833333333333333,12,9.0,30.0,2,FF
1b11ca2c-1939-4ebc-8dfe-d40c7b606da6,1.5,8,7.0,25.0,2,FM
1b360f15-9b2c-4ef7-a639-211b0cefb9f4,1.6666666666666667,6,8.0,26.0,2,MM
1bb8ee77-ac56-41f9-8103-a4314cc334f0,1.0,4,7.0,26.0,2,MM
1bd0be8a-e85c-4c7e-a965-a87dd64992e7,0.9,10,7.0,27.0,2,UNK
1c0af8fb-1c26-443b-b732-0f6649116972,1.2857142857142858,7,7.5,32.0,2,FF
1c0e34d9-5c5c-4e74-9046-216fcd5cbd6d,1.2727272727272727,11,9.0,35.0,2,FM
1c76c243-3a37-4416-87d3-2e4eac7d2f3e,1.1428571428571428,7,6.5,28.0,2,FM
1c82d05c-19ce-4d2a-83db-a54021c9196d,1.0,3,7.5,27.0,2,FF
1d258491-0ed5-41c8-96c3-af875ef4f1c5,1.0833333333333333,12,7.5,28.0,2,FF
1d28deaa-e598-4cc5-9494-77c5cc82a155,1.75,8,4.5,26.0,2,FM
1d8d3279-e796-4d53-ba7f-3e633e7f8452,1.8,10,7.5,26.0,2,FM
1d932c05-9340-4f74-90a5-1820ae5c1646,0.8333333333333334,6,9.0,28.0,2,UNK
1db0a83b-76d3-48f4-b0cd-13d559c67e61,1.1,10,6.5,26.0,2,FM
1dd0b2ad-3bd9-4159-9d3e-e617850002d8,1.3333333333333333,6,9.0,28.0,2,FF
1de1781f-ae79-4467-9724-f0808b7f55d7,1.0,7,7.5,30.0,2,MM
1e113df7-07f6-4d1a-b5ed-c401e230f4cb,1.3846153846153846,13,8.0,36.0,2,MM
1e14a9f0-d173-4ba5-b9a4-7e0da15d704d,1.4166666666666667,12,8.0,26.0,2,MM
1e19df3e-4637-4eeb-8719-715b1f80b36a,0.875,8,4.5,29.0,2,FM
1e339eff-9480-432d-99ec-700d4329026f,1.0833333333333333,12,7.5,25.0,2,MM
